text,label,source
"Dasar aturan yang bikin Polri makin bebas ngegas, gak heran kalau makin banyak preman berkedok kepolisian!",1,tiktok
banyak gaya luh rumah sepetak aja ????,1,dataset_research
"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",0,tiktok_v2
karena rakyat indonesia bodoh tidak membedakan yang yang buruk sudah tahu prilaku buruk tidak tahu sopan santun yang dipilih jadi panutan mengidolakan yang murahan dari pada yang berkelas ber etika,0,relabel
perokok berat mas makanya hitam sangatðŸ˜‚,1,tiktok_v2
Semua Relawan harusnya otomatis bubar setelah Pemilu selesai seperti halnya Tim Sukses bukan malah dipelihara. Semua Tim Relawan Capres sudah bubar dengan sendirinya Kecuali Relawannya Jokowi tetap dipertahankan.,0,tiktok
USER siapa bego lu bukan tmn gua najis dah kesel sendiri gue',1,fn_hatespeech_id
Kutukan pidun 2002 msih berlanjut. bagaimana kbar wasit yang memimpinnya 😁🫢🫢,1,
"USER USER Pengen cepat"" pilpres neh, biar tenang negara ini tanpa gaduh.. ; ; #2019GantiPresiden",1,fn_hatespeech_id
ngiri liat orang keren main alat musik dalam sekali nikmatin permainan,0,relabel
kakak gendutan ya,0,dataset_research
"""BUNUH DIRI LAH SONO GOBLOX""",1,tiktok_v2
Otak sapa yg ada gangguan,1,
"USER USER USER USER Lihat fakta dong , brosing peringkat partai korup , juaranya PDIP \nKalo ada oknum muslim korupsi cebong gembira dan koar2 , kalo ada oknum non muslim korupsi cebong mingkem , sebenarnya kalian benc",1,fn_hatespeech_id
@gasendra: kebanyakan bocotcotcot,1,dataset_research
Kedekatan lawyer satu merk yg dipakai pada lampu JPU di DKI dgn Ahok gubernur saat itu dduga menjadi alasan terpilihnya satu merk tersebut,1,fn_hatespeech_id
OBLY 347 LIKES AND 200 REPLIES AND EIGHT HOURS AGO??!!!,1,
Mantan menteri hrsnya jaga wibawa.bknnya turunkan berita HoaX!yg buat ribut itu asli kalian!hbs itu USER yg disalahkan USER oon!,1,fn_hatespeech_id
bikin konten youtube daily activity stanford kak maudyayunda,0,relabel
"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",1,tiktok_v2
Semoga bener Aamiin ðŸ˜,1,tiktok_v2
"A:aduh min kok aku kelihatan\ntua ya ?\nB:liat deh kulit becky 30an\nmenjelang 40..\nA:gua nanya keadaan kulit\ngua,bukan becky bego !'",1,fn_hatespeech_id
Sudah kuduga beda kasus ini bukan yg dicilacap woyyyy itu cirebooonnnnnnnnnnn 😂,1,
"#PDIPerjuanganMenang Mereka, kaum sipit mau menguasai tambang Indonesia, kalian ketawa saja. Dasar tidak punya nasionalisme Indonesia. Lebih baik tidak usah ikut Pemilu bagi kalian yang dukung 2 periode. Dan hasilnya Tambang Indonesia dikuasai sipit dan",1,fn_hatespeech_id
sampai kapan bang lu mau jdi cowok yg gak bisa anteng..dapet spek mbak er aj di selingkuhin apalagi lintang,1,tiktok
YO YT,0,
"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",0,tiktok_v2
Karena apa dia minta maaf guys 😹,0,tiktok
mandi bang,1,dataset_research
Korea harus belajar ke Federasi tanjung Verde bang 😂😂,1,
apaoun pekerjaannya yang halal u tuk menafkahi keluarga semangat,0,relabel
Besok mau nobar,1,
"""anjing saya suka duduk dekat kipas""",0,manual_augmentation
kaka2NYA cakep kok adeNYA kayak... sudahlah no komen,1,dataset_research
"11 12 lah kek PSSI, mungkin Pemimpin PSSI dan KFA ga mau namanya kalah sama pelatih 😂😂",1,
"Kita Lengserkan Jokowi Dodo yg lebih tepat, Aman dan tentram negri ini.",1,fn_hatespeech_id
Ibu Siti Zuhro memang cerdas tuuuh...... is the best ðŸ‘ðŸ‘,0,tiktok_v2
😢😢😢😢😢 buat para cewe diluar sana termasuk saya semoga selalu dilndungi dan diauhkan dari laki2 anomali kek gini kalau udah main tangan cepat lariiiiii sejauh mugkin,1,
"@AriWira-k2p kalo aku yg jadi ibunya korban, akan aku tendang kepala sipelaku, akan aku injak injak akan aku seret, aku marahnya udah meluap, aku tdk terima anak yg dr kecil disayang di sekolahkan, eh orang lain beraninya mukul, nendang nginjak, setan, ga punya otak, iblis",1,
pickboy??,0,dataset_research
Sampe sekarang saya ga tau ketum federasi brazil wlopun juara pildun berkali kali,0,tiktok
Congratulations 🎉🎉🎉,0,
"Ini orang ga tau Islam, tp belagu dan asbun.; ; Pidato Jokowi udah sesuai ayat Qur'an: Allah tak akan ubah nasib suatu kaum kecuali mrk mengubahnya. ; ; Kalo mau ganti presiden, rakyat sendiri yg harus mengganti. Baru Tuhan mengganti. Kehendak rakyat dulu,",1,fn_hatespeech_id
9:10 mirip ya kayak Indo. Pelatih yang hampir nyaris bawa ke world cup di pecat sepihak. Ternyata sama sama plenger😂😂😂😂,1,
Di kasih princess malah pilih ikan teri,1,tiktok
MaMaH AKu TaKuT????,0,dataset_research
"betul mas ,dituntut saja ,politikus harus santun dan nyata",1,tiktok
Sekarang denger erik pidato telinga tersiksa,1,tiktok
ngejelek-jelekin orang kok dibelakang? didepan dong.. Ga punya nyali yah? Situ banci? hahaha',1,fn_hatespeech_id
"RESIKO SEORANG PELATIH,SIAP DI SANJUNG DAN DI HUJAT",1,
padahal sampe ada korban ternyata dpr emng bukan wakil rakyat ðŸ˜¢,0,tiktok_v2
"""aku terlihat aneh karena salah pilih filter""",0,manual_augmentation
"""tampilan aplikasinya aneh tapi fungsinya bagus""",0,manual_augmentation
USER Iya cocot',1,fn_hatespeech_id
"""youtuber toxic, tutup akunmu sekalian tutup usia""",1,tiktok_v2
15 hours 😂😂😂,0,
aduduuuuuuuhh mas mirip kartun aduduu,1,dataset_research
Yakin Projo dalam bahasa sansakerta negeri & rakyat ? coba cek geh di google translate ðŸ˜‚ðŸ˜‚ðŸ˜‚,0,tiktok_v2
USER USER USER Cebong baru jadi yaaa.\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\nBau amiss.',1,fn_hatespeech_id
anjing foto ya,1,relabel
definisi pikmi di dunia nyata,1,dataset_research
kulitnya bgus bangettt🥰,0,tiktok
anjing juga kamu ler,0,relabel
Masalah sekolah bagus itu sebenernya sama mas hansol di Indonesia juga ada universitas unggulan dimana SMA yg di pilih bisa menentukan universitas mana yg kemungkinan besar bisa di masuki kelak,0,
Siap tak tonton mas Hansol aku wong Jember,0,
Don dasco satset,0,
bilang aj lu miskin jadinya nggak nonton 😏 atau lu nggak diajarin sopan santun sama orang tua😏,1,
Please just disappear lo itu gak dibutuhin siapa pun,1,codemixed
Kalen Kalen Pada Jahad Ma Aku,0,dataset_research
cantikkkk bangetttttt,0,tiktok
"Sangat sedih dg kondisi negara kita saat ini. Banyak yg sdh tdk sesuai dg aturan yg sehrsnnya. Untuk jabatan penting dipemerintahan diisi oleh orang2 yg tdk jelas kompetensinya, sedangkan untuk di bawah (rakyat) terlalu banyak syaratnya yg tdk masuk akal.",0,
tinggal indonesia barrack obama memelihara monyet bernama tata,0,relabel
Film nya bagusss bgt aku kira jelek pas nonton di bioskop bareng sekolah,0,
USER USER Mulai ga fokus n skrg lari ke hutang...coba cek APBN n alokasi kementerian di kemenkeu..baru kita debat mengenai hutang..jgn jadi anonim bloon...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1,fn_hatespeech_id
podcast sana sini eh🤣,1,tiktok
kamu perek pemalan pejuh belaga pakai hijab neraka kamu anjing,1,relabel
40. Jika Jokowi mundur maka akan bergelar negarawan tapi hal itu mustahil pasti akan tetap bertahan dan kita akan melihat berakhir,1,fn_hatespeech_id
anjing peliharaan saya suka main bola,0,manual_augmentation
"Skrg q pahaaam.. Berarti ibarat timnas Konoha gagal total di tangan si anomali, tapi federasi masih aja tunjuk si anomali jadi pelatih lagi.. Hasilnya hancurrrr lagi !! Mana ketumnya juga ga ganti2.. Sekarang q ngerti gimana perasaan warga Korea bang 😮 wajar aja mereka semarah itu",1,
USER USER USER USER USER USER USER USER USER USER USER Dasar kaum onta\nBacot ajj digedein\nIstighfar ngapa?!',1,fn_hatespeech_id
hapus saja ni poto tidak tahu malu sangat kamu bang,0,relabel
Artis tahun kapan?🙏🏻🙏🏻🙏🏻,1,tiktok
hansol kalo ngomong babi fasih banget wkwkwk,1,
eh bangsat ribut yuk saya,1,relabel
astaga ratu edit muka sumpah seren mirip film setan2 begitu,1,relabel
ini pakaian saya depan suami??,0,dataset_research
13. Setelah kita sepakati karakteristik pribadi kita cermati kondisi faktual internal SBY-PD: SBY bukan taipan harta tdk melimpah kayak JK,1,fn_hatespeech_id
anjing loyal pemiliknya,0,relabel
"Tau gk sih , rafi ahmad kan deket dengan kluarga mulyono , dan mulyono sdh kampanye kemana mana untuk siapa ? ya untuk 2029 untuk kluarga dan kroni . Di Indonesia gk butuh orang cerdas yg di butuhkan orang yg bs nempel atau di tempel kluarga penguasa . Era Reformasi KKN semakin menggila . Era mulyono makin gila lagi sampai sekarang .",1,
Dumb banget sih lo everyone thinks youre an idiot,1,codemixed
USER bajingan anda USER',1,fn_hatespeech_id
Meluruskan= membelokan ?ðŸ¤ª #pahamðŸ¤£,0,tiktok_v2
NGANTUK? Nyabu ituðŸ˜¹,1,tiktok_v2
Yang aku kasian dijadiin sound juga itu tu pas di bully juga tuh ada senyuman palsu sama yang aku bingung aku aja umur 9 aja gak ada pacar yurika ada 🗿🙏 tp mamaknya santuy yak yurika punya pacar aku aja langsung di coret dr kaka 🗿💔,0,
Siap,0,dataset_research
"Ayat-ayat yang dingajikan:rampasan halal, perangi, bunuh, penggal kafir, cocok2 penis, semuanya merusak bangsa",1,fn_hatespeech_id
fungsi nya projo itu apa sih,0,tiktok
"Detik detik Presiden Indonesia, eh Gubernur Indonesia ? pak USER bertemu dengan Presiden Turki USER ; ; Tanpa teks, tanpa bingung lgsg nyrocos ngomong nampak sangat Akrab sekali. Beda dengan si itu... Ah sudahlah gak usah dibahas mmg kelia",1,fn_hatespeech_id
lama2 ilfil deh sama ni ertong caption ig story nya membicarakan orang mlu orang jadi ambigu nilai si a si b si c sudah begitu kaya zholimi salahinnya lawan jangan omong status ah nya dewasa,0,relabel
