text,label
sayang anaknya ya serahkan saja polisi biar didik,0
lee smith outlines how fbi used allied media to become sources and methods...  via,0
USER si ahok pantasnya dinobatkan sbgai Babi ngepret,1
im the only person who likes yellow starburst i feel,0
USER USER USER USER USER Kmrn galak2 klo ngomong. Skrg sibuk klarifikasi. Dasar bajingan',1
Tpi ini video lamaaaaaaaaaaaaaayy,0
michael moore is a cheeseburger away from not making it to !,0
"12:55 Tebak timnas mana yg menjatuhkan Korea dari kans masuk Olimpiade waktu itu, gak lain Timnas Indonesia dibawah Shin Tae-yong. Hasil dari penalti sih tapi, ya....",0
"""keknya dia ngeliat masa depan yang hancur deh""",1
you do like to generalize do not u damaged and predatory men come from damaged predatory mothers not healthy men and women,1
stu a rape faced faggot man im sick of this nigga,1
your a dirty cunt mate lol missingtheaussies,1
"Menurut saya banyak org korea yg marah2 itu tidak benar2 mengerti sepakbola,mereka menganggap ketika korea mampu jadi semifinalis di piala dunia 2002,maka itu adalah standard yg minimal harus bisa dicapai lagi, pdhal kala itu ada faktor tuan rumah dan kontroversi juga makanya korea bisa sampai semifinal,dan kalo yg paham bola harusnya juga paham kalo sepakbola Asia itu memang masih sulit untuk bersaing ditingkat dunia,langganan lolos ke piala dunia saja harusnya sudah patut disyukuri",0
why niggas worry bout me when i do not even checc on them faggots,1
both qanon and antifa will be listed as diseases,1
"""tempat ini sempit seperti kotak""",0
nigga jay z said i am what supreme did not become niggas is not listening,0
"guys plis lah, knpa yg hate comment malah yang sesama perempuan 🙁💔",0
charlie sheen is a legend forthebros,0
kimmel has sexual harassment accusations made against him in number number number,0
all you gotta say is fuck me then it gon always be fuck you too,0
damn he a homo too not surprising israel is full of queers,1
maybe wherw you live?  or maybe conservatives?,0
"Bener, harus dibikin cacat seumur hidup biar kapok",1
politisi PDIP ini sudah seharusnya dilaporkan kepada pihak yang berwajib karena membuat pernyataan yang sangat mencederai keluarga besar almarhum bapak Soeharto,1
woila ga butuh penonton apa yaa😌,1
this like a retarded wutang clan,1
wkwkq riyaaaa ih si ibu????,1
i have to pack everything .,0
"Yeu kunyuk mt gue kaga di bales, sok suci cuihWoosoeokJung'",1
thats the problem with phony christians! you tried to explain to my ass? wow!,1
"""tampilan aplikasinya aneh tapi fungsinya bagus""",0
hi please teach your kids that retard,1
you dont know what your talking about retarded faggot,1
comes in to close out the game here in the th. yankees,0
dave has every right to be on the exact wrong side of an argument!,0
shout out to whoever invented hot sauce,0
pembagian suaranya pas sangat pecah suaranya juga cakap,0
"""babi ternak itu baru dipindah ke kandang besar""",0
"""dekorasi panggungnya kelihatan kampungan menurutku""",0
"Saya mencoba berlatih kematian saya, tetapi sayangnya saya gagal karena saya agak sedih dan mudah dimaafkan",1
cantiik senyumnya maudy kusnaedi,0
warriorscoach fundraising for gun control brady pac pacgoldenstatewarriors stevekerr headcoach url url,0
USER mampus lu. kalah kan lawan gua',1
"wow my cuzin dont like lil snupe, this niggah trippin",1
semoga sehat dimurahkan rejekinya ya,0
"Sehabis WC2002 itu berhasil banget gus hiddink, banyak pemain top lahir, banyak pelatih bagus korea bermunculan,Masih kebawa mimpi semi final WC2002, jadi maunya sampe semi final atau juara tiap masuk WC, bagus ada target sebenarnya, tapi sehabis WC2002 cuman korsel di Asia yg banyak dan sukses pemain diliga eropanya",0
cowok jaman tuh bajingan,1
"""Miris banget? ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",0
"hillary hahn, she wants me but just doesnt know it.",0
meek and mild c mon don call him what he is a faggot,1
That cafe kita visit kemarin cozy banget pengen balik lagi,0
