text,label
Mengapa tidak lebih banyak muzzies malu oleh sesama muzrat mereka Islam yang membunuh dan melakukan kejahatan keji lainnya atas nama buku mereka Nabi palsu mungkin kencing di atasnya dan bulangodes fuc kislam,1
Tuhan menyelamatkan kita dari bencana itu,0
Ini agak kacau bahwa mereka adalah kelinci percobaanku tapi aku hanya bereksperimen pada rasa sebaliknya aku mendapat hasil yang lebih menarik.,0
"""Bancurkan pakaian dalam kotor bau pantat jalang pergi mencukur berbulu""",1
Jika kau punya cara mereka tidak akan putih untuk membayar pajak sehingga kulit hitam bisa mengumpulkan kesejahteraan dan mereka telah membuktikan di Afrika mereka tidak mampu memberi makan diri mereka sendiri,1
perhatikan jahat serigala kike anti putih blitzer scowling belakang watson nya Israel mossad ass adalah jelas ada untuk memastikan proses pergi ke menghancurkan barat bit dengan rencana sedikit dnskta,1
sampah putih tidak dihitung sebagai orang kulit putih nyata untuk dihitung sebagai orang kulit putih kau harus menghitung seseorang okies bukan orang,1
Beberapa lumpur terjadi di London karma adalah bajingan,1
maybe spread some hate and intoleransi ?,1
"Ketika proyek pelaku... melihat di tanda cermin Anda gila ampli, marah.",1
Menjualnya semua bitcoin sama dengan emas nazi dirampok dari kami Yahudi itu dana nazism facist facist perlu dihentikan orang,1
Emo jelek sampah pergi memotong,1
karena hanya liberal yang tidak waras yang takut mereka tidak akan bisa membunuh bayi mereka menuntut ini. orang normal lainnya dengan akal sehat dapat melihat ini hanya tuduhan palsu untuk kios.,1
melarang kaum muslim sekarang. jangan buang waktu. melarang siapa saja yang membenci Amerika.,1
Aku benar-benar harus pulang ke rumah untuk Jamaica menemukan istriku hamil dia telah membesarkan anakku sampai angka-angka mendapatkan keduanya kartu hijau dan menjadi nigga setia,0
Apa lagi mengecewakan seorang anak kulit putih yang tidak bisa menembak atau orang kulit hitam merokok,0
kinciran merangkul kemiskinan bahwa mereka terbelakang liberal pendahulu telah menciptakan,1
Ini adalah kesalahan orang tua yang berperan aktif dalam pendidikan anak-anak mereka meskipun saya pikir kebanyakan anak-anak bodoh memiliki orang tua bodoh dan kesalahan sekolah yang membiarkan anak-anak buta huruf pergi ke kelas berikutnya.,0
beberapa tahun yang lalu saya bekerja dengan tunawisma di Vermont saya bertemu dengan seorang negro nomor lb dari jersey baru yang bersembunyi dari apa yang ia mengakui adalah nomor mamas bayi menginginkan dukungan anak,1
loon lotta benar dalam antifa,1
era awc begitu ghetto i benci di sini,1
pengguna dari nomor m asing ilegal dan nomor m orang mati,0
Orang Eropa suka melihat istri mereka diperkosa oleh imigran,1
Aku hanya akan mengatakan karma adalah tentara yang mencoba menghancurkan kita fufu tidak semudah itu,1
melanggar iklan melarikan diri vulgar Samantha Bee setelah serangan CT cabul,0
Aku bertaruh uang receh terakhirku yang dihasilkan oleh Cair hingga tahun lalu beberapa ratus juta penipuan ditemukan oleh dokter muzzie memberikan pengobatan pengobatan pengobatan medis tanpa kanker ya ini adalah sebuah agama yang unik,1
harus memaafkan tuan wanita ini mereka tidak tahu bagaimana mengemudi jadi bagaimana kita bisa mengharapkan mereka tahu bagaimana menggunakan tertawa internet,0
Aku benar-benar melihat orang-orang datang bersama-sama bahwa kita ateis buddast christian bahkan morman untuk satu menyebabkan agama bertahan hidup dan keyakinan pergi keluar jendela dalam lubang rubah teman sehingga pukulan yang terbelakang kotoran up beberapa rok lain,1
pengguna hebat anda menggunakan dukungan oleh sayap kanan neo nazi ultra untuk didukung sebagai jenis supremasi rasis putih,0
"Yo, kau harus menjadi bos.",1
"bukan Yahudi yang sebenarnya manusia, tetapi adalah hewan dalam bentuk manusia, jadi Yahudi tidak akan harus dilayani oleh hewan.",1
Tony BIair sama dengan semak-semak bitch morningjoe,1
psa ryzen overclockers downgrade bios Anda untuk stabilitas pubg,0
"Maaf, aku baru saja membaca ini.",0
Anda berarti tuduhan kecurangan. bukan pelecehan seksual atau penyerangan itu tentang kecurangan. perbedaan besar. kita semua tahu fakta menakut-nakuti liberal. jika Anda begitu khawatir tentang serangan seksual Anda perlu berteriak untuk nama-nama pada dana slush untuk mengungkapkan. sampai dari memiliki kursi yang,1
saya bingung mereka mengatakan bahwa identitas nasional dibuat adalah mereka benar-benar mencoba untuk mengatakan itu ok untuk menjadi putih terlepas dari perbatasan apapun adalah mereka benar-benar mencoba untuk mengatakan putih adalah yang terbaik terlepas dari perbatasan apapun,0
Mereka tahu ini tidak dapat diterima jadi mereka mencoba untuk mencemari juri. Mereka bekerja lembur untuk memastikan dia dinyatakan tidak bersalah...,0
Ini orang gila yang lain. Pergilah!,0
Republik pada kontrol senjata. kematian tidak berpartisipasi dalam keberhasilan ekonomi mengalahkan.,0
fuck prayer let throw the shitskin sand niggers out,1
Orang kulit putih itu memburu orang kulit putih mereka adalah orang putih yang suka membunuh di negara itu mereka melemparkan homo dari atap,0
ke twitter pengungsi repattlement spesialis absolut brilian nama pengguna,0
jalang melakukannya terlihat seperti saya peduli ; n ; o ; ; o ;; o ;;;;;;;;;;;;; o;;;;;;;; ;;;;;;;;;;;;;;;;;;,1
air liur Cina sebagai salamander berteriak dalam kepunahan,1
Anal nazi teroris idiot berjuang semua seperti invasi moisislem,1
les vokal de junhoe dans just go,0
Jika tidak ada manik-manik anal yang memainkan lagu Natal ada uang yang akan dibuat di sana.,0
Bu ... apakah Anda jelas bahwa tweet dengan hati-hati mereka mungkin merek Anda ras pengkhianat untuk saraf berpikir;,0
jeda telah ada yang mendengarkan album txt im mendengarkan sekarang dan i yang begitu goos lesbian membantu aku bergetar,0
levi strauss amp; co. mendonasikan lebih dari juta tahun ke tahun berikutnya untuk profits amp; aktivis muda bekerja untuk mengakhiri kekerasan senjata dengan membangun amp besok yang lebih aman; bermitra dengan grup kontrol senjata setiap kota untuk keselamatan senjata.,0
Aku tidak berpikir Jack tahu terlalu banyak konservatif. Aku belum pernah bertemu dengan orang yang tidak ingin menguliahiku bagaimana semuanya harus berjalan seperti bisnis dan kita semua harus bekerja lebih keras dan mengikuti aturan.,0
Aku hampir menghabisi selusin orang yang berkelahi di jalanan malam itu.,0
percayalah aku tahu itu omong kosong juga tapi sayangnya muzzies di Inggris akan menelan penengkokan garis kait karena menurunkan iqs,1
kita sudah memiliki petisi ini sebelumnya tapi mereka menolak untuk berdebat itu. bajingan sialan,1
apa yang harus posting di sini selain kotoran gay dan bertele-tele,1
"Isamorada rumah mewah di tepi pantai untuk menjual leoni drive, Islamorada, florida islamorada luluxury water homesforsale",0
liberal histeris berikut don jr. tidak ada fakta hanya alat bantu bicara liberal.,1
