text,label
these freshman in the bathroom having a blacks cypher  diploma me plz this shit ghetto dawg,1
exaggerating so much! you are appreciated.,0
user sup faggot suck my two inch cock thru my old navy jeans,1
here is my  year old daughters report  conservative as well fluffywolf url,0
"an eastbound th century limited departs lasalle street station, , chicago",0
i find myself wanting to google the yellow king truedetective; no kidding! what is going on?,0
user dey can suck my dick my po nd dat white ass judge,0
user you are a retarded twat that spouts a scewed agenda with misinformation,1
were defo living in the last days,1
glorita you are the most!,0
when i look at pictures that puts all clear to me ...,0
if you were deaf you would nt hear all the  multiculturalism enriches our society  rubbish .,0
and then suddenly shes not yo hoe no mo,0
"you ever randomly woke up and ya bitch standing over you, just staring.",1
"mexico is aiding and abetting, you stupid fucking dolt. fuck you and fuck mexico",1
a pharaohs nd his angry bird,0
"holy cow lesbo nigga slayer had a yt channel, full o gospel kid music an sheit.",1
you promised to dox me in .   are you an invalid?   it is   now gunty.,0
u can dream all you want but i will never suck your hiv dick faggot as im not gay like you homo queer catch,1
and youre just another twitter asshole. muted,1
theres only like one retarded fucking beaner that does and hes a stupid ass ex;,1
"someone gave me a nip of baileys irish cream coffee, what can i use it with,suggestions?",0
yuk what the media is doing to them kids today .....,0
user rules are rules leave the ghetto at the door when you walk in,0
according to you my place is in kitchen. excuse me while i take out the trash,0
congratulations on being in san antonio for one year! i am glad you are working here!,0
user number bank islam,0
operation nigger cull in london has dramatically improved following the distribution of firearms within local tribes,1
i just whooped your ass why you turnin pussy,1
uh oh u fags getting triggerer u fags getting triggered is because most women want like berserk and meh,1
you are a true blessing,0
iranians remain stranded in austria awaiting asylum in the u.s.,0
slut and skank are the funniest words and i thank user for it,0
that is retarded check out these number from oz if you have not already user user,1
user mm sounds more like white trash,1
lol antifa been doing it to republicans for a year you didnt care when it was betsy devos,0
"congratulations, your just like every other stuck up materialistic american bitch. ;",1
"i dont know, you tell me ya prick",0
this was honestly the best part of the devil may cry  trailer.,0
this sht censored is so ghetto bro,1
"pantera   minutes alone    minutes, pussy boy..ill crush you.",1
you are being unkind to the pin!!!,1
i find myself trying to relate with most lesbians by well being gay,0
guys so quick to talk shit to a bitch they would kiss ass to .,1
if the japanese dont accept refugees they are hypocrites.,1
she is getting death threats....can you go and be a shield for her so you dont have to wait?,1
should i try out aikido instead of krav maga?  aikido kravmaga,1
is dis wrong???  if you fuck wit a lame nigga you a lame bitch,1
it aint nuttin to cut that bitch off.,1
if you like after romeo chances are i think youre a faggot.,1
fuck bitches get money ayyyyeeeee,1
"i have light brown hair and light brown eyes , like my father .",0
fdr wife was an out and out dyke,1
i really be wanting these niggas to know i am not the guh for queer baiting,0
he rattled a kike,1
im sure those moab bombs dont damage the homes of hard working christian arabs right,0
niggas sleepin with bitches grandmas??? lmfao maury fake af,1
aint got shit  done today,1
reminder that google is run by jews,0
tcot maga complacency kills. vote in november url,1
and you can call me a dyke but niggas were scared of her,0
depressions a big ol bitch,0
barrys hoe michelle is walking in now. ugly beast she is. sotu,1
illyana or magick the little sister of colossus,0
user yeah that was dope,0
smiling after such a tragedy our country is truly sick fuckin spic shooters,1
"why listen to this tax evading race baiter? what, are you a libtard?",0
dr. blasey ford kavanaugh metoo . . femfrauds maga maddow morningjoe wednesdaywisdom url,0
i wear beanies all winter long! so no bandanas till summer;,0
ps and case is still in the trash can. idgaf anymore,0
i confess. im autistic or something. i thought aerosmith dreamon was ledzeppelin until like yesterday....... retarded,0
user white christians hate brown christians,0
user that retarded guy should not be a reporter,1
i fuck with myself heavy can not trust no hoe,1
clumpcake being racist to asians what new,0
smart lady!  too smart for the liberals!,0
can not trust them hoes that talk too much,1
user user wait that not possible nvm i am retarded,0
yasss bitch yasss! i wonder if penny passed ;,1
i literally love my bf so much omg you niggers suck lane ass,0
probably indoctrinating. maga url,1
standing trump strong.  maga url,0
time to vote and spit in the eye of all these liberals,1
no cops! no government! just anarchy in mexico town  bitchute,0
user that some hillbilly talk right there,1
proof of racial discrimination user reported a niglet arrested for doing it to a  month old,1
richard grenell wapos greg sargent mocks voter id and proves point of proponents,0
