Column1,Label,clean_text,String,encoded_label,new_label
0,Non-bullying,kaka tidur yaa sudah pagi tidak boleh capek2,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",10,1
1,Non-bullying,makan nasi padang saja badannya,"""makan nasi padang aja begini badannya""",10,1
2,Bullying,suka cukur jembut manggung,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",0,0
3,Non-bullying,hai kak isyana ngefans sekali kak isyana suka lagu kak isyana lagu didalam jiwa,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",10,1
4,Non-bullying,manusia bidadari sih herann deh cantik,"""Manusia apa bidadari sih herann deh cantik terus ????""",10,1
5,Bullying,ayu kinantii isyan sekarang berubah ya baju nya nakal,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",0,0
6,Non-bullying,gemesnya isyan mirip tango berlapis lapis ciaaaa,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",10,1
7,Bullying,jelek saja anaknya ayahnya cakep2,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",0,0
8,Bullying,anaknya mirip sudah tua begitu ya mukanya kartu keluarga tasya,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",0,0
9,Bullying,muka anak nya ko tua sekali yaa tidak ngegemesin tidak lucu2nya,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",0,0
10,Bullying,muka nya muka kolot wkwk muka bayi2 lucu begitu,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",0,0
11,Bullying,sudah gila orang wkwk sudah jomblo psikolog tidak laku ya,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",0,0
12,Bullying,kamu sintingnya sudah tingkat dewa,"""Lo sintingnya udah tingkat dewa""",0,0
13,Bullying,lutfi putus dengan salsa orang stress,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",0,0
14,Bullying,anak tolol aktif ya bund,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",0,0
15,Bullying,mati saja tidak gedeg saya liat kamu anjim,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",0,0
16,Bullying,woy lutfi asu sok asyik kamu anjing,"""Woy Lutfi asu , sok asik Lo ANJING !""",0,0
17,Bullying,apasih kontol bertengkar saja ayo bngst lutfiagizal,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",0,0
