text,label
"Kamu memang layak dijauhi oleh semua orang",1
"Dasar pecundang, hidupmu emang ga ada artinya",1
"Lo nggak pantas ada di sini, pergi aja",1
"Muka lo tuh bikin orang ilfil, ga ada yang mau liat",1
"Hidupmu sia-sia banget, nggak ada yang peduli",1
"Bego abis, masak gitu aja ga bisa",1
"Lo itu cuma sampah di mata semua orang",1
"Makanya gendutan, makanya dijauhin, makanya sendirian",1
"Kamu tuh nggak ada bagusnya, dari dulu sampe sekarang",1
"Mending lo ga usah exist, ganggu orang aja",1
"Jelek, bau, bego, tiga-tiganya lo banget",1
"Ga ada yang suka sama lo, itu faktanya",1
"Sudah tau diri dong, jangan maksa masuk circle kita",1
"Kamu emang nggak layak dapet yang terbaik",1
"Lo tuh cuma bisa ngerepotin, ga ada gunanya sama sekali",1
"Kasian banget hidupnya, nggak ada yang melirik pun",1
"Biar terkenal tapi ya emang layak dijauhin sih",1
"Mending tutup mulut, daripada bikin malu terus",1
"Gitu doang baper, makanya ga ada temennya",1
"Lo tuh toksik banget, nggak cocok ada di grup ini",1
"Udah tau jelek, masih pamer. Aneh banget",1
"Setiap lo ngomong, orang pasti males dengerin",1
"Cuma bisa nyusahin orang, ga ada kontribusinya",1
"Makanya jangan sok pinter kalau otaknya ga nyampe",1
"Lo itu manusia gagal, dari lahir sampe sekarang",1
"Boro-boro dicintai, dilihat aja orang males",1
"Hidup lo nggak ada progresnya, stagnan terus",1
"Semua orang ngomongin lo di belakang, tau ga?",1
"Lo itu beban buat semua orang di sekitar lo",1
"Kayaknya lo tuh emang takdirnya jadi orang gagal",1
"Santai aja ngobrol bareng, nggak usah tegang",0
"Semangat ya, masih banyak kesempatan ke depannya",0
"Makasih udah bantu, lo emang selalu bisa diandalin",0
"Tenang, kita bisa kok cari solusinya bareng-bareng",0
"Jangan nyerah dulu, pasti ada jalan keluarnya",0
"Lo itu kuat, pasti bisa melewati ini",0
"Good job! Hasilnya keren banget bro",0
"Kita dukung apapun keputusan lo",0
"Hebat banget lo bisa tetap semangat",0
"Percaya diri dong, lo punya potensi besar",0
"Mantap jiwa, terus berkarya ya",0
"Nggak usah minder, semua orang punya proses masing-masing",0
"Lo udah berusaha keras, itu yang paling penting",0
"Kesalahan itu wajar, yang penting belajar dari situ",0
"Jangan terlalu keras sama diri sendiri",0
"Lo itu berharga, percayalah",0
"Makasih udah mau jujur sama kita semua",0
"Kita ada buat lo, apapun yang lo butuhin",0
"Kalau butuh bantuan, bilang aja ya",0
"Senang banget bisa kenal sama lo",0
"Filmnya seru banget sih, reccomend banget deh",0
"Coba deh tempat ini, makanannya enak parah",0
"Hari ini produktif banget, selesai semua kerjaan",0
"Cuaca enak, cocok buat jalan-jalan",0
"Meeting tadi berjalan lancar, alhamdulillah",0
"Dapat rezeki hari ini, syukur banget",0
"Liburan seru, banyak foto bagus dihasilkan",0
"Baru baca buku ini, isinya bagus banget",0
"Lagi belajar skill baru, excited banget",0
"Nonton konser kemarin, amazing banget perform-nya",0
