text,label,category
"Kamu emang brengsek ya, ngga ada yang suka sama kamu",1,FN_target
"Dasar bodoh, makanya belajar yang bener bukan cuma tidur",1,FN_target
"Lu tuh nggak ada gunanya, mending pergi aja dari sini",1,FN_target
"Bego banget sih, tugas segitu aja nggak bisa",1,FN_target
"Muka lo jelek banget, pantesnya emang disembunyiin",1,FN_target
Lo tuh ga ada temen karna emang ga ada yang bisa tahan sama lo,1,FN_target
"Udah tau buruk, masih aja eksis. Malu-maluin",1,FN_target
"Ih jorok banget sih orangnya, pantesan dijauhin",1,FN_target
"Gak usah nyoba jadi keren, lo emang ga akan bisa",1,FN_target
"Nyebelin banget sih lo, pergi aja sana",1,FN_target
"Emang dasar ga tau diri, untung ada yang mau kenal sama lo",1,FN_target
"Lo itu lemah, makanya selalu gagal",1,FN_target
"Paling ga suka sama orang kayak lo, munafik banget",1,FN_target
"Nggak ada yang peduli sama lo, makanya curhat di sosmed mulu",1,FN_target
"Lo tuh cuma bisa ngomong, pas dikasih tugas ga bisa ngapa-ngapain",1,FN_target
"Udah tau ga bisa, kenapa maksain? Malu-maluin aja",1,FN_target
"Ih serem, muka creep banget. Jangan deket-deket deh",1,FN_target
"Ga punya teman tuh wajar, sifatnya aja nyebelin minta ampun",1,FN_target
"Bau banget sih, ga pernah mandi ya?",1,FN_target
"Lo itu ga berguna, ngapain ada di sini",1,FN_target
"Sarkasme halus: Oh hebat ya lo bisa telat terus, bakatnya emang itu",1,FN_target
"Waaah pintar sekali ya, sampe ngga bisa bedain mana yang bener",1,FN_target
"Emang ya kalau udah jelek, ya jelek aja. Ga bisa diupgrade",1,FN_target
"Kelas kamu tuh level bawah, jangan sok setara sama kita",1,FN_target
Makanya jangan banyak omong kalau emang ga ada isinya,1,FN_target
"Sudah miskin, masih sombong. Lucu banget",1,FN_target
"Ya ampun, masih aja salah. Kapan cerdasnya coba?",1,FN_target
"Oh iya sih, lo memang paling jago gagal",1,FN_target
"Keren banget ya nganggur tiap hari, itu prestasi lo?",1,FN_target
"Makin hari makin kasian liatnya, ga berkembang-berkembang",1,FN_target
"Santai aja ngomong sama teman, nggak usah baper",0,FP_target
"Brengsek banget sih sistemnya, bikin orang frustasi",0,FP_target
Anjing! Malah hujan pas mau pergi,0,FP_target
"Gila sih, soal ujiannya susah banget",0,FP_target
"Brengsek banget cuacanya hari ini, panas banget",0,FP_target
"Kampret, lupa bawa charger lagi",0,FP_target
"Sialan, mobilnya mogok pas mau berangkat",0,FP_target
"Goblok banget sih rules-nya, ribet amat",0,FP_target
"Brengsek, mati lampu lagi pas lagi asik main",0,FP_target
"Bangsat, signalnya lemot banget",1,FP_target
"Hahaha gila bro, ketawa mulu kita",0,FP_target
"Lu gila ngga sih, masa lupa ulang tahun sendiri",0,FP_target
"Setan banget sih filmnya, bikin takut banget",0,FP_target
"Edan, harga makanan sekarang mahal banget",0,FP_target
"Brengsek banget deh tugas ini, susah parah",0,FP_target
"Gila bos, project-nya keren abis",0,FP_target
"Goblok banget gue, lupa save dokumennya",0,FP_target
"Anjir, ketinggalan film ini ternyata bagus banget",0,FP_target
"Sialan, gue ketawa sampe sakit perut",0,FP_target
"Bajingan, apps-nya crash lagi",1,FP_target
"Kita kan sohib, biasa aja ngomong kasarnya",0,FP_target
"Udah biasa kita bercanda kayak gini, jangan dimasukin ke hati",0,FP_target
"Bercanda doang bos, jangan baper",0,FP_target
"Kita suka roasting-an, tapi ya tetep saudara kok",0,FP_target
"Ini bukan bully ya, kita emang suka becanda kasar",0,FP_target
"Kalau udah akrab mah kata-kata kasar tuh biasa, bukan beneran marah",0,FP_target
"Teman lama emang bebas ngomong apa aja, udah kenal karakternya",0,FP_target
"Gaya bahasa gaul emang suka kasar, bukan berarti bully",0,FP_target
Ekspresi kaget pakai kata kasar itu lumrah di tongkrongan,0,FP_target
"Sumpah deh temen gue lucu banget, dikata-katain malah ketawa",0,FP_target
