text,label,category
saya lihat babi hutan berlari di kebun,0,animal_literal
monyet itu melompat dari satu pohon ke pohon lain,0,animal_literal
anjing itu menggonggong semalaman,0,animal_literal
kucing saya takut sama anjing tetangga,0,animal_literal
babi hutan sering masuk ke ladang warga,0,animal_literal
monyet di kebun binatang itu lucu sekali,0,animal_literal
anjing peliharaan saya suka main bola,0,pet_context
babi itu hewan yang hidup di lumpur,0,animal_literal
monyet termasuk hewan primata,0,animal_literal
anjing saya tidur di depan pintu,0,pet_context
saya kasih makan anjing saya pagi tadi,0,pet_context
monyet kecil itu digendong induknya,0,animal_literal
babi ternak itu dipelihara di kandang belakang,0,animal_literal
anjing kampung itu sering ikut lari pagi,0,pet_context
suara anjing tadi malam keras sekali,0,pet_context
film ini jelek alurnya tapi sinematografinya bagus,0,object_criticism
video ini jelek kualitas audionya,0,object_criticism
desain posternya norak menurut saya,0,object_criticism
"bajunya kelihatan kampungan, tapi mungkin memang konsepnya begitu",0,object_criticism
warna tembok ini jelek kalau dipadukan dengan lampu kuning,0,object_criticism
"editan videonya norak sekali, terlalu banyak efek",0,object_criticism
cover bukunya jelek tapi isi tulisannya bagus,0,object_criticism
model tas itu menurut saya kampungan,0,object_criticism
interior ruangan ini terlihat norak karena terlalu ramai,0,object_criticism
sepatu itu jelek bentuknya menurut saya,0,object_criticism
desain logonya terlalu norak untuk brand premium,0,object_criticism
"film horor itu jelek, saya bosan menontonnya",0,object_criticism
iklan ini aneh konsepnya tapi lumayan menarik,0,object_criticism
warna cat rumah itu terlalu mencolok dan terkesan norak,0,object_criticism
layout presentasinya jelek dan tidak rapi,0,object_criticism
"anjing, kaget banget gue tadi",0,general_expression
"anjir, ternyata jadwalnya diubah",0,general_expression
"gila, cepat banget larinya",0,general_expression
"parah, hujannya deras banget hari ini",0,general_expression
"buset, rame banget jalanan pagi ini",0,general_expression
"kampret, aku lupa bawa dompet",0,general_expression
"bangsat, file-nya belum ke-save",1,self_directed_expression
"goblok, aku salah kirim file lagi",0,self_directed_expression
"tolol banget aku, lupa naruh kunci",0,self_directed_expression
"bodoh banget saya tadi, salah belok",0,self_directed_expression
"anjing, sakit juga jatuh dari tangga",0,self_directed_expression
"sial, aku keteledoran lagi",0,self_directed_expression
"kampret, charger-ku ketinggalan",0,self_directed_expression
gobloknya aku gak cek dulu sebelum submit,0,self_directed_expression
"bego banget gue, salah jadwal",0,self_directed_expression
"anjir, ternyata mahal juga ya",0,general_expression
"parah sih cuacanya, bikin malas keluar",0,general_expression
gila sih pemandangannya bagus banget,0,general_expression
"buset, tinggi banget gedung itu",0,general_expression
anjing itu hewan yang sangat setia,0,quoted_or_descriptive
babi termasuk mamalia omnivora,0,quoted_or_descriptive
monyet sering dijadikan objek penelitian perilaku primata,0,quoted_or_descriptive
kata 'anjing' sering muncul dalam percakapan informal,0,quoted_or_descriptive
"kata 'babi' dalam konteks ini merujuk pada hewan, bukan hinaan",0,quoted_or_descriptive
kata 'monyet' bisa bermakna literal jika sedang membahas hewan,0,quoted_or_descriptive
dalam berita itu disebutkan ada serangan babi hutan ke kebun warga,0,news_or_public_issue
berita hari ini membahas populasi monyet liar di permukiman,0,news_or_public_issue
warga mengeluhkan anjing liar yang berkeliaran di jalan,0,news_or_public_issue
petani rugi karena babi hutan merusak tanaman mereka,0,news_or_public_issue
video dokumenter itu membahas kehidupan monyet di hutan,0,news_or_public_issue
artikel itu menjelaskan cara merawat anjing peliharaan,0,news_or_public_issue
"poster itu terlihat norak, tapi mungkin target pasarnya anak muda",0,object_criticism
menurut saya desain panggungnya terlalu ramai dan terkesan kampungan,0,object_criticism
dekorasi acara itu kelihatan berlebihan dan agak norak,0,object_criticism
"bentuk kursinya aneh, tapi tetap nyaman dipakai",0,object_criticism
"cover album ini jelek, untung lagunya bagus",0,object_criticism
warna mobil itu terlalu mencolok buat selera saya,0,object_criticism
aku merasa penampilanku jelek di foto itu,0,self_directed_expression
hari ini mukaku jelek banget karena kurang tidur,0,self_directed_expression
aku kelihatan berantakan banget habis kehujanan,0,self_directed_expression
rambutku norak banget kalau kena angin,0,self_directed_expression
foto ini bikin aku kelihatan aneh,0,self_directed_expression
bajuku kelihatan kampungan kalau dipakai dengan sandal itu,0,self_directed_expression
rumah itu disebut mirip kandang karena desainnya sangat sederhana,0,figurative_non_targeted
jalanan kota ini seperti hutan karena terlalu ramai dan semrawut,0,figurative_non_targeted
suasana rapat tadi seperti kebun binatang karena semua bicara bersamaan,0,figurative_non_targeted
kelas tadi ramai sekali sampai terasa seperti pasar,0,figurative_non_targeted
tempat itu bau sekali seperti kandang hewan,0,figurative_non_targeted
debat tadi liar banget sampai seperti hutan belantara,0,figurative_non_targeted
'makan nasi padang aja begini badannya' itu dikutip dari komentar warganet,0,quoted_or_descriptive
'hapus aja ni poto' adalah contoh komentar yang sedang dianalisis,0,quoted_or_descriptive
"peneliti mengumpulkan kata seperti anjing, babi, dan monyet untuk studi bahasa kasar",0,quoted_or_descriptive
dalam dataset ini ada contoh kata kasar yang tidak selalu berarti bullying,0,quoted_or_descriptive
"kalimat itu hanya contoh linguistik, bukan serangan ke seseorang",0,quoted_or_descriptive
komentar tersebut dibahas sebagai bagian dari penelitian media sosial,0,quoted_or_descriptive
anjing laut hidup di daerah dingin,0,animal_literal
babi rusa adalah hewan endemik Indonesia,0,animal_literal
monyet ekor panjang banyak ditemukan di hutan tropis,0,animal_literal
anjing penjaga itu sangat aktif malam hari,0,pet_context
babi ternak perlu kandang yang bersih,0,animal_literal
monyet itu mengambil pisang dari tangan penjaga,0,animal_literal
cokelat berbahaya untuk anjing peliharaan,0,pet_context
makanan itu tidak boleh diberikan ke anjing,0,pet_context
vaksin rabies penting untuk anjing dan kucing,0,pet_context
anak itu senang melihat monyet di taman safari,0,animal_literal
"""anjing tetangga itu selalu duduk di depan pagar""",0,pet_context
"""saya melihat monyet mengambil makanan wisatawan""",0,animal_literal
"""babi peliharaan itu sedang tidur di kandang""",0,animal_literal
"""anjing penjaga rumah itu sangat jinak""",0,pet_context
"""monyet liar itu turun ke atap rumah warga""",0,animal_literal
"""babi hutan sering muncul saat musim panen""",0,animal_literal
"""anjing kecil itu menggigit sandal saya""",0,pet_context
"""monyet di video itu terlihat sangat aktif""",0,animal_literal
"""babi ternak perlu pakan yang cukup setiap hari""",0,animal_literal
"""anjing saya suka berlari di halaman belakang""",0,pet_context
"""warna baju ini terlalu norak untuk acara formal""",0,object_criticism
"""poster konsernya kelihatan kampungan menurut saya""",0,object_criticism
"""desain kemasannya jelek dan kurang menarik""",0,object_criticism
"""tampilan aplikasinya aneh tapi fungsinya bagus""",0,object_criticism
"""dekorasinya terlalu ramai dan terlihat norak""",0,object_criticism
"""logo lama itu menurut saya jelek untuk brand besar""",0,object_criticism
"""iklan itu terasa kampungan karena terlalu berlebihan""",0,object_criticism
"""warna sofa ini aneh kalau dipadukan dengan dinding""",0,object_criticism
"""desain bajunya norak tapi bahan kainnya nyaman""",0,object_criticism
"""judul videonya aneh banget tapi isinya informatif""",0,object_criticism
"""anjing, listrik mati lagi""",0,general_expression
"""anjir, kok mendadak hujan deras""",0,general_expression
"""kampret, tiketnya habis duluan""",0,general_expression
"""gila, pemandangannya keren banget""",0,general_expression
"""buset, besar banget gedung itu""",0,general_expression
"""parah, macetnya panjang sekali""",0,general_expression
"""bangsat, lupa simpan dokumen tadi""",1,self_directed_expression
"""goblok, aku salah kirim pesan ke grup""",0,self_directed_expression
"""bego banget aku tadi gak baca instruksinya""",0,self_directed_expression
"""tolol banget saya lupa bawa kartu identitas""",0,self_directed_expression
"""anjing, kaki saya kejedot meja""",0,self_directed_expression
"""kampret, kuncinya tertinggal di rumah""",0,self_directed_expression
"""kata anjing dalam konteks ini merujuk pada hewan peliharaan""",0,quoted_or_descriptive
"""kata babi di kalimat itu dipakai secara literal""",0,quoted_or_descriptive
"""kata monyet di paragraf ini menjelaskan spesies primata""",0,quoted_or_descriptive
"""istilah kampungan pada artikel itu dipakai untuk gaya desain""",0,quoted_or_descriptive
"""kata norak pada ulasan ini ditujukan pada dekorasi ruangan""",0,quoted_or_descriptive
"""frasa jelek di sini merujuk pada kualitas gambar""",0,quoted_or_descriptive
"""berita itu membahas serangan babi hutan di desa""",0,news_or_public_issue
"""laporan warga menyebutkan ada monyet masuk permukiman""",0,news_or_public_issue
"""artikel tersebut membahas vaksin rabies untuk anjing""",0,news_or_public_issue
"""program konservasi itu meneliti perilaku monyet liar""",0,news_or_public_issue
"""warga mengeluhkan suara anjing liar saat malam""",0,news_or_public_issue
"""berita lokal menuliskan kerusakan kebun akibat babi hutan""",0,news_or_public_issue
"""aku merasa fotoku jelek karena pencahayaannya buruk""",0,self_directed_expression
"""hari ini wajahku kelihatan aneh di kamera depan""",0,self_directed_expression
"""rambutku berantakan banget habis naik motor""",0,self_directed_expression
"""bajuku kelihatan norak kalau dipadukan dengan tas ini""",0,self_directed_expression
"""aku tampak capek banget di foto tadi""",0,self_directed_expression
"""sepatuku kelihatan aneh dipakai dengan celana ini""",0,self_directed_expression
"""ruangan itu seperti kandang karena terlalu sempit""",0,figurative_non_targeted
"""rapat tadi seperti pasar karena semua bicara bersamaan""",0,figurative_non_targeted
