text,label
can confirm: he never gave us up,0
Imagine if Rick Astley dies everyone would be too afraid to click a link to articles announcing his death because it might be a rickroll,0
Petition to make this the national anthem of the internet,0
I got rickrolled by a link saying it got taken down.,0
1987 : normal song 2026 : national anthem of the universe,0
Congrats You just got Rick rolled,0
"1B people have been Rick Rolled, what an achievement",0
Am I the only one who came here again just to read the comments?,0
"My professor sent us this link as the ""final exam key""........",0
Time to report this so that the youtube staff get rickrolled for the hundredth time in their career,0
There's a reason this has over 600M views...,0
Hold on this isn't the national state anthem of the Soviet Union,0
Gonna flag this for nudity so I can rick roll the YouTube staff,0
bro I just got rickrolled by AI 😭,1
Getting rickrolled by a national examination board 🥀🥀 CBSE😭😭,0
"Let’s put the meme aside, this is actually a banging song.",0
"I didn't get rickrolled today, I just really enjoy this song",0
Anyone else just get Rick Rolled in 2026?,0
bruhhh no way I got rickrolled via discord age verification,0
Ah yes we meet once again,0
Remove ads from this video so we can rickroll,0
Bro is 15 years late,0
Only took 15 years for YouTube to get rickrolled I guess,0
Youtube accidently got rickrolled,0
YOUTUBE AND ONE LIKE WOOHAAAAH,0
HAI YOUTUBEEEEE,0
@linganguliguliwatcha hi,0
​ @linganguliguliwatcha 😊,0
new comment alert,0
HEY YOUTUBE,0
It's YouTube and They GOT RICK ROLLED. HAHA,0
He's ingrained in our brains at this point. Such a devoted man.,0
Happy birthday,0
No way Youtube really got rickrolled 😂,1
@XDARKX200 not really,0
make this appear on everyone's homepages for a day,0
y o u t u b e,0
"Happy 20, but I miss the early years. You created too many weirdos.",1
Happy 20th birthday,0
It’ll never be a let-down,0
"And whoever is seeing this, you didn't give up scrolling :) Great job!",0
YOOO 18 HOURS AGO. I CAN GUARANTEE YOUTUBE GOT RICK ROLLED 💀💙,0
@sawmangames i can gurantee you that no they didnt,0
So wholesome..😭,1
Of course he wouldn't ☕🤭,1
He didn’t 😂,1
Yt was here lol,0
Here to be in the reply section of one of the most legendary comments ever,0
ДЕНЬ НАЗАД,0
daaaaamn u right tho,0
Yesssssss,0
even in 2025 youtube got rickrolled.. maybe there is hope for humanity after all,0
OMG YOUTUBE GOT RICKROLLED,0
Indeed!!!!!!!!!!!!!!!!!!!!!!!!! never gonna give you up!,0
YOOOOOOOO,0
Her Never Gave Us Up indeed,0
@MatheusDeOliveira123 indeed,0
Whooooooooohaaaaaaaaah,0
Your ads that destroyed ones ability to rick roll someone is a travesty the universe cannot forgive.,1
YOO THIS PROVES THIS WILL NEVER DIE,1
Frfr pluss 1k comment,0
Lihat balasan video Shorts,0
oop 3rd didnt realise youtube was here😄,0
Happy 20th birthday YouTube 🥳🥳🥳🥳🥳,0
FINALLY YOU COMMENTED ON THIS,0
he never gave,0
13yrs too late 💀,0
:O it's the real guys???? and today???,0
wow 18hours before,0
U also got Rick rolled hehe,1
