text,label,orig_split,oof_prob_0,oof_prob_1,oof_pred,oof_fold,ce_loss,is_disagreement,noise_type
do not forget the muzrat cop that works for him and belongs to cair,0,train,0.0005042249104008079,0.9994957447052002,1,2,7.5924881386379255,1,Suspected_False_Positive
user this administration never fails to keep their white trashy unprofessionalism from leaking out,0,val,0.0006951139075681567,0.9993048906326294,1,1,7.271434830047408,1,Suspected_False_Positive
user user it still a thing it just very white trashy when it happens,0,val,0.0007033133297227323,0.9992966651916504,1,1,7.259708061719242,1,Suspected_False_Positive
gua lama lama trauma beli pulsa kalo kesedot mulu. bangsad ga tri ga indosat sama aja kayaknya \xf0\x9f\x98\xad',0,train,0.0007446510717272758,0.999255359172821,1,1,7.20259480939718,1,Suspected_False_Positive
"wkwk bukannya makin bagus malah makin keliatan tololnya cuy kalo ditutup-tutupin begini, masa yang bener harus minta maaf kocak 😂",0,train,0.0008389169815927744,0.9991611242294312,1,4,7.0833988056267465,1,Suspected_False_Positive
gobloknya aku gak cek dulu sebelum submit,0,train,0.0008446536958217621,0.9991554021835327,1,3,7.076583842039181,1,Suspected_False_Positive
Korsel negara rasis,0,train,0.0008789255516603589,0.9991211295127869,1,3,7.036810360498188,1,Suspected_False_Positive
"kok bisa orang-orang kayak Puan Maharani, Kapolri, dan antek-antek mereka masih menjabat setelah demo besar-besaran yang sampai menewaskan banyak nyawa enggak berdosa??? Apakah pejabat-pejabat kita emang semuka tembok gitu??? 😂",0,train,0.000917650933843106,0.9990823268890381,1,1,6.993693486014034,1,Suspected_False_Positive
user user ok i admit the tractor looks like a muzzie nuni rest all,0,train,0.000935906486120075,0.9990641474723816,1,3,6.973994994469191,1,Suspected_False_Positive
"kok bisa orang-orang kayak Puan Maharani, Kapolri, dan antek-antek mereka masih menjabat setelah demo besar-besaran yang sampai menewaskan banyak nyawa enggak berdosa??? Apakah pejabat-pejabat kita emang semuka tembok gitu??? ðŸ˜‚",0,train,0.0009392604697495699,0.9990608096122742,1,1,6.9704177266470415,1,Suspected_False_Positive
we snap chatted for one night lol. but youre cute. snapchat me back nig,0,train,0.0009696239721961319,0.999030351638794,1,1,6.938602219155211,1,Suspected_False_Positive
"Lo itu kuat, pasti bisa melewati ini",0,train,0.00129414489492774,0.9987058639526367,1,4,6.649905114730259,1,Suspected_False_Positive
supir di jepang : apaan anjrit kaga semahal itu ege,0,train,0.0013448467943817377,0.9986550807952881,1,4,6.611475179939161,1,Suspected_False_Positive
Ribka itu bangga jadi anak PKI....!!! pahamkan,0,train,0.0013918423792347312,0.9986081719398499,1,4,6.577126956789667,1,Suspected_False_Positive
user respect the based nigress  he would be nothing without her,0,train,0.0013979823561385274,0.9986019730567932,1,4,6.572725256038053,1,Suspected_False_Positive
np big nig nig,0,train,0.00143661058973521,0.9985634684562683,1,2,6.545468696963292,1,Suspected_False_Positive
niggaz are drinking black label and corona pre game lol,0,train,0.0014402178348973393,0.9985597729682922,1,3,6.542960902600758,1,Suspected_False_Positive
"my hawaiian thought of the day, no aloha for muzzie pigs, ever!",0,train,0.001475779921747744,0.9985242486000061,1,3,6.518568668427987,1,Suspected_False_Positive
yum. that looks delicious. i can go without food but not without pussy.,0,train,0.001478104735724628,0.9985218644142151,1,2,6.5169945958242925,1,Suspected_False_Positive
najiiisss mirip si mba dese tidak begitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk,0,train,0.0015061787562444806,0.9984937906265259,1,3,6.498179460602781,1,Suspected_False_Positive
"Knet memang terlalu tinggi obsesinya dan sifat rasisnya terlalu kuat menang kalah dlm pertandingan itu uda biasa,",0,val,0.0015748633304610848,0.9984251260757446,1,2,6.453586784780072,1,Suspected_False_Positive
"Udah biasa kita bercanda kayak gini, jangan dimasukin ke hati",0,val,0.0015862610889598727,0.9984136819839478,1,3,6.446375548284069,1,Suspected_False_Positive
this pervert bastard needs to be in prison.,0,train,0.0016033319989219308,0.9983966946601868,1,2,6.435671315806148,1,Suspected_False_Positive
"Paling benci dengan kalimat ""namanya juga anak-anak"" heh anak2 juga harus di kasih tau kalo dia berbuat salah jangan di maklumi terus kelakuan gak baiknya, bisa berdampak sama masa depannya woy",0,train,0.0016063849907368422,0.9983935952186584,1,3,6.433768971926324,1,Suspected_False_Positive
overdosing on heavy drugs doesnt sound bad tonight. i do that pussy shit every day.,0,train,0.0016909753903746605,0.9983090162277222,1,2,6.382449762468661,1,Suspected_False_Positive
fran is a hillbilly virginia mountain man who has pres white anglosaxon beliefs frankensteinmd kikme,0,train,0.0017954865470528603,0.9982044696807861,1,5,6.322479236917205,1,Suspected_False_Positive
"mepet pasti ada butuhnya.. jangan mau pak Prabowo disusupi org"" beginian",0,train,0.002104288199916482,0.9978957176208496,1,5,6.1637780163405695,1,Suspected_False_Positive
any solution to zog which doesnt deal with demographics  only laws  is no solution. northwestimperative,0,train,0.0021950891241431236,0.9978049397468567,1,5,6.121532630025022,1,Suspected_False_Positive
INI KULIT YG AKU MAUUUUUUUUU,0,train,0.0022192334290593863,0.9977807402610779,1,3,6.110593444953992,1,Suspected_False_Positive
"matai ngeli, alu o polosi ho nifo..",0,train,0.002279551699757576,0.9977204203605652,1,4,6.08377647826195,1,Suspected_False_Positive
KLO NGK BNR KN MALU BNG .... KLO NGK |,0,train,0.0023236742708832026,0.9976763129234314,1,4,6.064605608643864,1,Suspected_False_Positive
"fake pics  get off my tl, u r dismissed muzzie.",0,train,0.0023698853328824043,0.9976301193237305,1,1,6.0449137077556205,1,Suspected_False_Positive
oplas dipermak tetap jelek pokoknya mukanya tegang kek banci sudah sekian,0,train,0.0023917334619909525,0.9976083040237427,1,4,6.035736878035965,1,Suspected_False_Positive
