Column1;Label;clean_text;String;new_label
0;Non-bullying;kaka tidur yaa sudah pagi tidak boleh capek2;"""Kaka tidur yaa, udah pagi, gaboleh capek2""";1
1;Non-bullying;makan nasi padang saja badannya;"""makan nasi padang aja begini badannya""";1
2;Bullying;suka cukur jembut manggung;"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""";0
3;Non-bullying;hai kak isyana ngefans sekali kak isyana suka lagu kak isyana lagu didalam jiwa;"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""";1
4;Non-bullying;manusia bidadari sih herann deh cantik;"""Manusia apa bidadari sih herann deh cantik terus ????""";1
5;Bullying;ayu kinantii isyan sekarang berubah ya baju nya nakal;"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""";0
6;Non-bullying;gemesnya isyan mirip tango berlapis lapis ciaaaa;"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""";1
7;Bullying;jelek saja anaknya ayahnya cakep2;"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""";0
8;Bullying;anaknya mirip sudah tua begitu ya mukanya kartu keluarga tasya;"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""";0
9;Bullying;muka anak nya ko tua sekali yaa tidak ngegemesin tidak lucu2nya;"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""";0
10;Bullying;muka nya muka kolot wkwk muka bayi2 lucu begitu;"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""";0
11;Bullying;sudah gila orang wkwk sudah jomblo psikolog tidak laku ya;"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""";0
12;Bullying;kamu sintingnya sudah tingkat dewa;"""Lo sintingnya udah tingkat dewa""";0
13;Bullying;lutfi putus dengan salsa orang stress;"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""";0
14;Bullying;anak tolol aktif ya bund;"""ANAK TOLOL INI MULAI AKTIF YA BUND""";0
15;Bullying;mati saja tidak gedeg saya liat kamu anjim;"""bisa mati aja ga? gedeg gua liat lu. ANJIM""";0
16;Bullying;woy lutfi asu sok asyik kamu anjing;"""Woy Lutfi asu , sok asik Lo ANJING !""";0
17;Bullying;apasih kontol bertengkar saja ayo bngst lutfiagizal;"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""";0
18;Bullying;pelakor plus hamil nikah ya pantas anaknya seperti gini modelannya;"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""";0
19;Bullying;anaknya sudah pintar maknya kelempengan berasa baby tingginya azka saja melebihi mamanya;"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""";0
20;Non-bullying;anak yang cerdas terbentuk dari pola asuh pola didik orangtua yang cerdas sih saranya sesimple;"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""";1
21;Non-bullying;iri motivasi;"""Setengah iri setengah jadi motivasi ini""";1
22;Bullying;hancur hidup kamu sumpah;"""Ancur hidup lu kalau sama dia? Sumpah..""";0
23;Bullying;seram sekali muka kamu mel mirip ayam potong merah sekali;"""serem banget muka lo mel kayak ayam potong merah banget""";0
24;Non-bullying;yaudah jadi pengusaha kuliner saja tidak usah artis makanannya memang bikin ngiler sih wkwkw;"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""";1
25;Non-bullying;memang cocoknya pengusaha kuliner sudah fixs semoha lancat terusssss;"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""";1
26;Bullying;sejelek image owner ya artis ups artis hallo langsung orang tahu image kamu jelek gentong;"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""";0
27;Bullying;sih tidak hidupnya;"""Apaan sih gak jelas hidupnya""";0
28;Bullying;unfoll bilang najissss;"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""";0
29;Bullying;muka kamu sensual norak sudah;"""muka lu sensual tapi norak kenapa dah""";0
30;Non-bullying;sudah tidak jaman ngebully orang hey netizen mending ngaca kekurangan;"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""";1
31;Non-bullying;pas penempatannya sebenarnya imut sekali loh mel;"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""";1
32;Bullying;cakap kaga jelek iya hahah;"""Cakep kaga jelek iya HAHAH""";0
33;Bullying;jari jari kaki mirip jarinya tukang panggul;"""jari jari kaki kayak jarinya tukang panggul""";0
34;Bullying;kakinya kek hamil tua ya bun kaki gajah ayuugsia;"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""";0
35;Non-bullying;suka heran yang ngehina fisik benar ya pendosa;"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""";1
36;Bullying;diedit biar langsing mah kalau live bomber badannya;"""Ini diedit biar langsing padahal mah klo live bomber badannya""";0
