text,label
"Dasar bego lo, otak lo emang di dengkul",1
"Kamu tuh memang tidak ada artinya di sini",1
"Pergi sana, kita nggak butuh orang kayak lo",1
"Muka lo tuh mau diapain juga tetep jelek",1
"Bodoh banget sih, bisa bisa nggak bisa yang gampang",1
"Lo itu lemah, makanya sering diremehkan orang",1
"Diam lo! Suaramu itu bikin sakit kepala",1
"Lo nggak bisa apa-apa, emang udah takdirnya",1
"Cuma bisa ngangguin doang, nggak ada kontribusinya",1
"Lo tuh cuma beban buat semua orang",1
"Makanya kalau ngomong dipikir dulu, bego",1
"Nggak usah sok keren, liat aja tampang lo",1
"Ga ada yang nggak benci sama lo di sini",1
"Dasar miskin, pantesnya ga masuk tongkrongan ini",1
"Lo itu kayak sampah, ga ada gunanya",1
"Mending lo ga lahir dari pada ada",1
"Kapan lo sadar kalau lo nggak dibutuhin",1
"Ga ada yang cinta sama lo, itu fakta",1
"Ngapain masih hidup kalau ga ada gunanya",1
"Emang otak lo itu kosong dari sananya",1
"Kamu itu selalu jadi bahan lelucon semua orang",1
"Dibuang aja deh, ga ada yang bakal nyari",1
"Anjing banget sifatnya, nggak ada baiknya",1
"Sial banget hidup lo, nggak ada yang kasian",1
"Sudah jelek, nggak punya otak pula",1
"Makanya jangan sok eksis, nggak ada yang peduli",1
"Lo itu nggak ada level, jangan coba-coba masuk circle kita",1
"Makanya belajar, daripada jadi orang bodoh seumur hidup",1
"Nggak pantas lo dapat sesuatu yang bagus",1
"Semua orang jijik lihat lo",1
"Mau ngapain juga lo nggak bakal bisa",1
"Lo itu selalu gagal, udah biasa",1
"Nggak ada yang mau dengerin pendapat lo",1
"Kalau lo pergi, semua orang bakal senang",1
"Memalukan sekali jadi orang kayak lo",1
"Lo itu bau, dekatin aja males",1
"Jangan sok pintar, lo nggak nyampe levelnya",1
"Mending diam aja, daripada makin kelihatan bodohnya",1
"Lo tuh nggak ada baktinya buat siapapun",1
"Pantesan dibuang, emang ga layak disayangin",1
"Hari ini cerah, cocok buat olahraga pagi",0
"Kerjaan sudah selesai, lega banget rasanya",0
"Baru masak, hasilnya enak banget hari ini",0
"Ketemu teman lama, ngobrol seru banget",0
"Film tadi bagus, plotnya menarik sekali",0
"Lagi baca novel baru, seru banget ceritanya",0
"Beli tanaman baru, senang banget lihatnya",0
"Sudah olahraga pagi, badan segar seharian",0
"Belajar resep baru hari ini, hasilnya memuaskan",0
"Jalan-jalan sore, udaranya segar banget",0
"Produktif banget hari ini, semua tugas selesai",0
"Dapat kabar baik dari kantor, semangat",0
"Cuaca bagus, mood juga ikut bagus",0
"Makan siang enak banget, kenyang sampai malam",0
"Diskusi tadi seru, dapat banyak insight baru",0
"Lagi ngulik hobi baru, excited banget",0
"Nonton konten favorit, santai banget hari ini",0
"Teman-teman pada kumpul, seru banget acaranya",0
"Baru selesai project, bangga sama hasilnya",0
"Dapat appreciation dari atasan, senang sekali",0
"Hari ini penuh syukur, banyak hal baik terjadi",0
"Latihan piano tadi berjalan dengan baik",0
"Dapat kiriman dari orang tua, terharu",0
"Baca berita positif, ada kemajuan di sana-sini",0
"Belajar hal baru hari ini, ilmu bertambah",0
"Ngobrol sama kakak, dapat nasihat yang bagus",0
"Masak untuk teman-teman, senang bisa berbagi",0
"Main game bareng teman online, seru banget",0
"Bantu teman yang kesulitan, senang bisa berguna",0
"Hari yang produktif, banyak yang bisa diselesaikan",0
"Nonton pertandingan olahraga, seru banget",0
"Lihat foto lama, banyak kenangan indah",0
"Dengar lagu favorit, mood langsung naik",0
"Beli kopi favorit, hari jadi lebih menyenangkan",0
"Dapat pujian atas kerja keras, bangga",0
"Coba restoran baru, makanannya lezat sekali",0
"Pergi piknik bersama keluarga, menyenangkan",0
"Olahraga bersama teman, menyehatkan dan seru",0
"Baca artikel inspiratif, dapat motivasi baru",0
"Selesaikan tantangan baru, puas sekali rasanya",0
"Dapat penghargaan atas usaha keras selama ini",0
"Belajar bahasa baru, menarik sekali prosesnya",0
"Bertemu mentor yang menginspirasi, banyak dapat ilmu",0
"Melakukan perbuatan baik hari ini, hati senang",0
"Rencana liburan sudah tersusun, tidak sabar menunggu",0
"Podcast tadi sangat insightful, banyak yang dipelajari",0
"Bantu senior project, senang bisa berkontribusi",0
"Dapat feedback positif dari klien, semangat terus",0
"Hari ini berhasil keluar dari zona nyaman",0
"Coba hal baru, ternyata menyenangkan sekali",0
"Sukses presentasi tadi, lega banget rasanya",0
"Kerjakan hobi, menyegarkan pikiran yang penat",0
"Bersyukur atas semua yang ada hari ini",0
