text,label
"Lo tuh ugly banget sumpah mending gak usah keluar rumah",1
"Dasar stupid gak berguna hidup lo cuma nyusahin orang",1
"Muka lo tuh so ugly kayak monster mending mati aja",1
"You're such a loser kasian banget hidup lo",1
"Gak ada yang care sama lo di dunia ini worthless banget",1
"Badan lo fat banget kayak babi diet sono",1
"Lo tuh trash of society gak ada gunanya",1
"Stupid banget sih lo gak bisa jawab soal gitu aja",1
"Muka lo ugly parah mending pake paper bag deh",1
"Lo itu burden buat semua orang mending pergi aja",1
"Dasar idiot lo bikin malu keluarga aja kerjaannya",1
"You are so disgusting banget deh muka lo itu",1
"Lo tuh weak gak bisa apa-apa useless banget",1
"Goblok banget sih you cant even do simple things",1
"Lo itu nobody cares about you pergi aja sana",1
"Badan lo tuh obese banget malu-maluin aja",1
"Suara lo annoying banget kayak nails on chalkboard",1
"Lo itu pathetic banget gak punya temen karena lo sampah",1
"Mending lo shut up deh mulut lo bau sampah",1
"Lo tuh so dumb kayak otak udang",1
"Jelek banget you look like trash kasian deh lo",1
"Lo itu creepy banget gak ada yang mau deket sama lo",1
"Tolol banget sih you failed again as always loser",1
"Gak ada yang love lo di dunia ini karena lo ugly",1
"Bego sih lo that was so stupid of you",1
"Lo tuh freak nobody wants to be your friend",1
"Mending lo die aja deh gak ada gunanya hidup lo",1
"Lo itu so fake kayak plastik sampah banget",1
"Tampang lo bikin sick mau muntah liat muka lo",1
"You deserve to suffer karena lo emang sampah manusia",1
"Lo tuh cringe banget deh malu-maluin aja",1
"Dasar coward gak berani face to face pengecut",1
"Lo itu retarded atau gimana sih kok gak ngerti-ngerti",1
"Pergi lo sana go away nobody needs you here",1
"Lo bikin everyone uncomfortable karena lo itu weirdo",1
"Miskin banget lo cant even afford baju bagus",1
"Lo itu skinny banget kayak tengkorak makan yang bener dong",1
"Hidung lo flat banget kayak got surgery aja sono",1
"Kulit lo dark banget kayak arang gosong",1
"Lo tuh short banget kayak anak SD malu gak sih",1
"Rambut lo messy banget kayak gak pernah shower",1
"Lo itu boring banget nobody wants to hang out with you",1
"Teeth lo crooked banget mending pake braces deh",1
"Lo old banget masih act like a teenager pathetic",1
"Gak talented lo sih just give up aja",1
"Lo itu clumsy dan stupid semuanya salah mulu",1
"Voice lo annoying banget shut up please",1
"Lo itu desperate banget looking for attention kasian",1
"Gak smart enough lo buat masuk university mana pun",1
"Lo itu so poor sampai baju aja gak punya yang bagus loser",1
"Kerjaan lo tuh useless banget kayak lo sendiri",1
"Lo itu hopeless case mending give up aja",1
"Style lo tuh ugly banget gak ada fashion sense sama sekali",1
"Lo itu failure hidup lo tuh meaningless",1
"Body lo disgusting banget siapa yang mau sama lo",1
"Lo tuh psycho nobody feels safe around you",1
"Dasar hypocrite lo tuh fake friend banget",1
"Lo itu slow banget kayak snail otak lemot",1
"Haha lo so clumsy jatuh lagi embarrassing banget",1
"Lo itu selfish nobody likes a selfish person like you",1
"Mending lo quit aja lo emang gak capable",1
"Lo itu jealous karena lo gak bisa se-good orang lain",1
"Lo itu two-faced munafik banget sumpah",1
"Childish banget sih lo grow up dong stupid",1
"Lo itu waste of space mending gak usah exist",1
"Skill lo zero gak ada talent sama sekali pathetic",1
"Lo itu so mean tapi gak sadar diri ugly inside out",1
"Attitude lo terrible banget no wonder gak ada temen",1
"Lo cuma bisa talk trash tapi gak bisa buktiin apa-apa loser",1
"Otak lo empty sih makanya stupid terus",1
"Lo itu bau banget smelly kayak sampah please mandi",1
"Gigi lo yellow banget disgusting brush your teeth",1
"Lo itu faker semua yang lo bilang itu lies",1
"Lo tuh irrelevant nobody gives a damn about you",1
"Kasian hidup lo miserable banget you deserve it though",1
"Dumb banget sih lo everyone thinks youre an idiot",1
"Lo itu so arrogant padahal nothing special about you",1
"Kemampuan lo mediocre at best mending gak usah try",1
"Lo itu so needy and clingy annoying banget",1
"Muka lo punchable banget pengen gue tonjok",1
"Lo itu snake in disguise gak bisa di-trust",1
"Kelakuan lo immature banget kayak bocah stupid",1
"Lo itu so basic nothing interesting about you sama sekali",1
"Please just disappear lo itu gak dibutuhin siapa pun",1
"Lo itu crybaby weak banget dikit-dikit nangis",1
"Badan lo flabby banget never heard of gym ya",1
"Lo itu control freak annoying dan bossy banget",1
"Hair lo greasy banget kayak gak pernah keramas disgusting",1
"Lo itu so loud and obnoxious shut your mouth",1
"Dress sense lo terrible banget kayak orang gak punya fashion",1
"Lo itu embarrassment buat keluarga lo you know that right",1
"Gak ada future lo sih just a dead end loser",1
"Lo itu ungrateful brat mending dibuang aja",1
"Semua orang hate you dan lo gak sadar thats so sad",1
"Lo itu backstabber traitor gak ada yang trust lo",1
"Mending lo transfer school aja nobody wants you here",1
"Lo itu laughing stock semua orang ketawa di belakang lo",1
"Presence lo itu unwanted get lost dari sini",1
"Lo itu copycat gak punya originality sama sekali pathetic",1
"Life lo sad banget I feel sorry for you actually no I dont",1
"Lo itu so toxic everyone is better off without you",1
"Aku really enjoyed film yang kita nonton tadi malam",0
"Thanks ya udah help aku buat PR tadi you are the best",0
"Let me know kalau kamu mau hang out weekend ini ya",0
"Baru beli new phone kemarin seneng banget finally",0
"Movie yang kemarin kita watch bareng bagus banget sih",0
"Aku appreciate banget your support selama ini thank you",0
"Weekend ini mau hiking gak guys the weather looks great",0
"Lagi belajar cooking Italian food hasilnya lumayan enak loh",0
"Happy birthday ya semoga all your dreams come true",0
"Congratulations on your new job well deserved banget sih",0
"Aku suka banget playlist lo the music taste is amazing",0
"Makasih udah come to my party yesterday it was fun right",0
"Besok kita study bareng ya di library jam 3 okay",0
"Outfit kamu hari ini cute banget love the color combination",0
"Aku baru try resep baru dan it turned out really good",0
"Semoga cepet recover ya get well soon kita kangen kamu",0
"That presentation was really good kamu emang talented",0
"Aku excited banget for the trip next month cant wait",0
"Your drawing is so good kamu harus share it more often",0
"Coffee shop yang baru di deket rumah aku nice banget",0
"Aku proud banget sama kamu you did an amazing job",0
"Lets meet up nanti after class di kantin ya",0
"Kamu tuh so kind sih always helping everyone around you",0
"Baru selesai marathon running capek but worth it banget",0
"Score kamu di exam kemarin great banget keep it up",0
"Project kita finally done good teamwork everyone",0
"Cuaca hari ini nice banget perfect buat jalan-jalan",0
"Aku baru adopt kucing baru so cute banget namanya Milo",0
"Thanks for the recommendation film-nya really good",0
"Aku miss kamu banget lets video call nanti malam ya",0
"Kamu tuh good listener sih makasih ya udah dengerin curhat aku",0
"That song is stuck in my head lagunya catchy banget",0
"Aku baru join club baru di kampus its really fun",0
"Your mom masak enak banget I love her cooking",0
"Gym session tadi intense banget tapi feel good sekarang",0
"Aku appreciate feedback kamu it really helped me improve",0
"Baru baca book yang kamu recommend bagus banget sih",0
"Kamu always bikin aku ketawa you have great sense of humor",0
"Aku excited for your wedding next month its gonna be beautiful",0
"That cafe kita visit kemarin cozy banget pengen balik lagi",0
"Kamu creative banget your art project looks stunning",0
"Kalau kamu need help just let me know aku siap bantu",0
"Aku baru try yoga for the first time dan suka banget",0
"Sunset hari ini beautiful banget wish you were here",0
"Semester ini tough banget but we can get through it together",0
"Aku admire dedication kamu you always give your best",0
"Thank you for being such a great friend artinya banyak banget",0
"Aku baru mulai learn guitar and its challenging but fun",0
"Kamu cook really well loh makanan kamu always tasty",0
"Lets plan a trip bareng next holiday it would be so fun",0
"Aku suka how you always stay positive even when things are hard",0
"Acara kemarin fun banget hope we can do it again soon",0
"Aku belajar tentang cyberbullying di kelas psikologi very interesting topic",0
"Body shaming itu wrong banget we should respect everyones body",0
"Kata dosen aku bullying can cause serious mental health issues",0
"Did you know bahwa kata stupid bisa hurt people badly",0
"Menurut research online bullying affects one in three teenagers worldwide",0
"Kita harus fight against discrimination and racism in our community",0
"Workshop anti-bullying kemarin really eye-opening banyak yang aku gak tau",0
"Contoh hate speech itu misalnya calling someone names based on their appearance",0
"Penting banget to teach kids about respect and empathy from early age",0
"Mental health awareness should be prioritized di semua sekolah dan kampus",0
"Jangan pernah bully someone karena their weight itu bisa destroy self-esteem mereka",0
"Article tentang cyberbullying prevention itu really informative everyone should read it",0
"Kita semua harus be kind to each other no matter what",0
"Documentary tentang online harassment yang aku watch kemarin sangat menyentuh",0
"Program anti-bullying di school kita udah improve banyak im glad",0
"Kalau kamu see someone being bullied speak up dont just watch",0
"Aku support the movement against body shaming everyone is beautiful",0
"Research shows bahwa positive words can really change someones day",0
"Aku lagi baca buku tentang how to deal with toxic people",0
"Self-love itu penting banget dont let anyone make you feel less",0
